Address,City,Price,lot_size_m2,living_area_m2,Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,est_neigh_price_m2,rooms_total,bedrooms,Bathrooms,province_nl,price_per_sqm
Bovenweg 223,Sint Pancras,525000.0,251.0,135.0,1972,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,D,,"Achtertuin, voortuin en zijtuin",6.035,5,4.0,1,Noord-Holland,3888.8888888888887
Julianastraat 19,Waddinxveen,425000.0,181.0,109.0,1935,Bestaande bouw,"Herenhuis, geschakelde 2-onder-1-kapwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.435,4,3.0,1,Zuid-Holland,3899.0825688073396
Kuipersgilde 3,Houten,575000.0,198.0,138.0,1986,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,B,Aan rustige weg en in woonwijk,Achtertuin,1.855,5,4.0,1,Utrecht,4166.666666666667
De Kamp 1 A,Pannerden,259500.0,231.0,92.0,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.190,5,3.0,1,Gelderland,2820.6521739130435
Wildrijklaan 8,Sassenheim,1050000.0,423.0,210.0,2000,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,4,A,"Aan rustige weg, aan water, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",1.340,6,5.0,2,Zuid-Holland,5000.0
Tol 4,Oudewater,445000.0,127.0,126.0,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,A,In woonwijk,Achtertuin en voortuin,1.745,5,4.0,1,Utrecht,3531.746031746032
Furkabaan 698,Utrecht,425000.0,170.0,87.0,1984,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,C,In woonwijk,Achtertuin en voortuin,7.080,5,3.0,1,Utrecht,4885.057471264367
Abeelstraat 71,Dordrecht,825000.0,413.0,232.0,1974,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3,D,In woonwijk,Achtertuin en voortuin,5.090,7,6.0,1,Zuid-Holland,3556.0344827586205
Overegge 8,Zuidveen,249500.0,235.0,124.0,1920,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,G,"Aan rustige weg, beschutte ligging en in centrum",Voortuin en zijtuin,580,5,4.0,1,Overijssel,2012.0967741935483
Gaasterland 59,Amstelveen,550000.0,137.0,111.0,1992,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.040,4,3.0,1,Noord-Holland,4954.954954954955
Oostopgaande 53,Nieuwlande,859000.0,5.44,300.0,2017,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (7 slaapkamers),3 badkamers en 2 aparte toiletten,3,A,"Aan rustige weg, aan water, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,60,9,7.0,3,Drenthe,2863.3333333333335
Ghijseland 198,Rhoon,389000.0,290.0,108.0,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.310,5,4.0,1,Zuid-Holland,3601.8518518518517
Diedenweg 10 A,Ede,349000.0,281.0,80.0,,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2,F,In woonwijk,"Achtertuin, voortuin en zijtuin",,3,2.0,1,Gelderland,4362.5
Klaverbeemd 4,Terheijden,399000.0,219.0,129.0,1976,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,B,Aan rustige weg en in woonwijk,Achtertuin,,5,4.0,1,Noord-Brabant,3093.0232558139537
Burgemeester Schoutenstraat 13,Schaijk,495000.0,371.0,141.0,1988,Bestaande bouw,"Bungalow, geschakelde woning (semi-bungalow)",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2,C,In centrum en in woonwijk,"Achtertuin, voortuin en zijtuin",6.220,3,2.0,1,Noord-Brabant,3510.6382978723404
